City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
104,Vestmannaeyjar,63.44,-20.27,42.8,75,75,14.99,broken clouds,IS,2020-11-08 14:12:07
105,Berdyaush,55.16,59.15,32.27,94,85,19.01,overcast clouds,RU,2020-11-08 14:18:26
106,Antunez,19.02,-102.2,55.4,87,5,0.54,clear sky,MX,2020-11-08 14:18:26
107,Lavrentiya,65.58,-171.0,25.77,94,56,5.82,broken clouds,RU,2020-11-08 14:15:29
108,Nakhon Sawan,15.7,100.08,75.88,74,10,1.25,clear sky,TH,2020-11-08 14:18:26
109,Huntingdon,52.33,-0.19,59.0,86,83,2.06,broken clouds,GB,2020-11-08 14:14:18
110,Musoma,-1.5,33.8,80.6,61,40,11.41,scattered clouds,TZ,2020-11-08 14:18:27
111,Berlevag,70.86,29.09,36.09,86,100,29.8,overcast clouds,NO,2020-11-08 14:15:43
112,Orocue,4.79,-71.34,83.25,74,100,3.02,light rain,CO,2020-11-08 14:18:27
113,Bilma,18.69,12.92,83.43,21,0,3.2,clear sky,NE,2020-11-08 14:18:28
114,Lixourion,38.2,20.43,69.8,64,20,5.82,few clouds,GR,2020-11-08 14:18:28
115,Verkhnevilyuysk,63.45,120.32,-5.44,91,0,3.49,clear sky,RU,2020-11-08 14:18:29
116,Cabo San Lucas,22.89,-109.91,78.8,74,5,5.82,clear sky,MX,2020-11-08 14:10:03
117,Tiksi,71.69,128.87,-6.61,92,56,3.2,broken clouds,RU,2020-11-08 14:14:57
118,Petrivka,46.97,30.96,55.4,71,0,8.95,clear sky,UA,2020-11-08 14:18:29
119,Carnarvon,-24.87,113.63,69.8,77,75,14.99,broken clouds,AU,2020-11-08 14:10:57
120,Balabac,7.99,117.06,80.73,80,10,5.55,clear sky,PH,2020-11-08 14:18:30
121,Progreso,21.28,-89.67,79.0,94,5,3.36,clear sky,MX,2020-11-08 14:16:32
122,Samarai,-10.62,150.67,81.09,84,47,15.5,moderate rain,PG,2020-11-08 14:16:12
123,Caravelas,-17.71,-39.25,83.98,65,100,9.46,overcast clouds,BR,2020-11-08 14:16:11
124,San Cristobal,7.77,-72.22,75.2,94,75,3.36,broken clouds,VE,2020-11-08 14:15:15
125,Nemuro,43.32,145.57,46.15,73,95,15.95,light rain,JP,2020-11-08 14:13:16
126,Jumla,29.27,82.18,45.32,62,0,2.39,clear sky,NP,2020-11-08 14:18:31
127,Dzaoudzi,-12.79,45.27,86.0,66,0,5.82,clear sky,YT,2020-11-08 14:18:31
128,Port Alfred,-33.59,26.89,70.81,63,3,12.55,clear sky,ZA,2020-11-08 14:14:31
129,Dikson,73.51,80.55,1.65,94,100,9.82,overcast clouds,RU,2020-11-08 14:14:46
130,Galle,6.04,80.22,80.85,82,100,8.01,heavy intensity rain,LK,2020-11-08 14:15:07
131,Mahibadhoo,3.78,72.97,83.8,73,87,5.53,moderate rain,MV,2020-11-08 14:14:59
132,Hobart,-42.88,147.33,48.0,87,9,4.03,clear sky,AU,2020-11-08 14:11:24
133,Vila Franca Do Campo,37.72,-25.43,62.6,72,20,12.75,few clouds,PT,2020-11-08 14:15:04
134,Tucumcari,35.17,-103.72,53.6,76,40,11.41,scattered clouds,US,2020-11-08 14:18:32
135,Bardiyah,31.76,25.09,68.23,74,3,17.4,light rain,LY,2020-11-08 14:18:33
136,Mana,5.66,-53.78,84.85,68,97,11.63,overcast clouds,GF,2020-11-08 14:18:33
137,Neiafu,-18.65,-173.98,73.4,88,75,14.07,broken clouds,TO,2020-11-08 14:15:22
138,Esperance,-33.87,121.9,62.6,72,39,12.75,scattered clouds,AU,2020-11-08 14:14:32
