City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Goundam,ML,2020-11-07 18:31:32,16.41,-3.67,86.65,12,0,11.74
115,Margate,GB,2020-11-07 18:31:32,51.38,1.39,54.0,89,22,1.99
116,Fairbanks,US,2020-11-07 18:31:21,64.84,-147.72,27.0,86,75,2.24
117,Allahganj,IN,2020-11-07 18:31:33,27.55,79.68,66.67,26,0,1.34
118,Bethel,US,2020-11-07 18:31:33,41.37,-73.41,73.99,35,1,8.05
119,Esperance,AU,2020-11-07 18:31:33,-33.87,121.9,55.4,100,75,8.05
120,San Quintin,MX,2020-11-07 18:31:33,30.48,-115.95,65.44,49,0,16.73
121,Kalmunai,LK,2020-11-07 18:31:25,7.42,81.82,79.75,83,16,3.18
122,Vostok,RU,2020-11-07 18:31:34,46.49,135.88,22.23,99,100,2.06
123,Muzhi,RU,2020-11-07 18:31:34,65.37,64.67,29.28,99,100,1.3
124,Rio Gallegos,AR,2020-11-07 18:27:08,-51.62,-69.22,66.2,34,0,17.22
125,Kahului,US,2020-11-07 18:31:34,20.89,-156.47,75.99,83,40,14.99
126,Tasiilaq,GL,2020-11-07 18:31:34,65.61,-37.64,28.4,92,90,4.7
127,Tandlianwala,PK,2020-11-07 18:31:34,31.03,73.13,64.36,26,0,1.88
128,Khatanga,RU,2020-11-07 18:31:19,71.97,102.5,-4.85,88,9,11.79
129,Batsfjord,NO,2020-11-07 18:31:35,70.63,29.72,37.69,78,93,31.56
130,Kruisfontein,ZA,2020-11-07 18:31:35,-34.0,24.73,64.0,73,0,1.01
131,Salalah,OM,2020-11-07 18:28:08,17.02,54.09,77.0,61,0,4.7
132,Sao Miguel Do Araguaia,BR,2020-11-07 18:31:35,-13.28,-50.16,86.95,49,100,5.66
133,Lujan,AR,2020-11-07 18:31:36,-34.57,-59.1,82.0,51,72,4.0
134,Prykolotne,UA,2020-11-07 18:31:36,50.16,37.35,43.86,85,4,9.31
135,Smidovich,RU,2020-11-07 18:31:36,48.6,133.82,27.0,93,0,4.16
136,Gizo,SB,2020-11-07 18:31:37,-8.1,156.84,82.83,74,30,7.43
137,Maceio,BR,2020-11-07 18:31:37,-9.67,-35.74,84.2,74,75,17.22
138,Nemuro,JP,2020-11-07 18:31:37,43.32,145.57,51.62,79,61,4.43
139,Mogadishu,SO,2020-11-07 18:28:05,2.04,45.34,80.73,79,27,7.49
140,Yellowknife,CA,2020-11-07 18:31:37,62.46,-114.35,12.0,85,75,4.7
141,Sur,OM,2020-11-07 18:31:38,22.57,59.53,75.63,77,0,7.18
142,Cockburn Town,TC,2020-11-07 18:31:38,21.46,-71.14,78.8,88,40,16.11
143,Souillac,MU,2020-11-07 18:31:38,-20.52,57.52,73.4,78,40,8.05
144,Salinopolis,BR,2020-11-07 18:31:39,-0.61,-47.36,85.06,69,26,16.37
145,Lebu,CL,2020-11-07 18:31:39,-37.62,-73.65,57.07,59,0,21.5
146,Kloulklubed,PW,2020-11-07 18:31:39,7.04,134.26,77.0,88,90,5.82
147,Casablanca,MA,2020-11-07 18:26:55,33.59,-7.62,66.2,63,0,2.24
148,Valleyview,CA,2020-11-07 18:31:39,55.07,-117.29,15.8,78,100,6.93
149,Sorland,NO,2020-11-07 18:31:40,67.67,12.69,37.4,74,40,20.8
150,Antofagasta,CL,2020-11-07 18:31:10,-23.65,-70.4,66.2,59,20,11.41
151,Praia,CV,2020-11-07 18:26:51,14.92,-23.51,86.0,55,0,10.29
152,Stoilesti,RO,2020-11-07 18:31:40,44.9,24.38,44.8,88,80,1.21
153,Saint George,US,2020-11-07 18:30:19,37.1,-113.58,59.0,30,40,23.04
154,Cabedelo,BR,2020-11-07 18:31:24,-6.98,-34.83,84.2,70,40,18.34
155,Port-Gentil,GA,2020-11-07 18:31:40,-0.72,8.78,80.6,88,40,12.75
156,Sita Buzaului,RO,2020-11-07 18:31:41,45.65,26.07,42.01,82,0,2.08
157,Hilo,US,2020-11-07 18:31:41,19.73,-155.09,75.2,88,90,5.82
158,Longyearbyen,SJ,2020-11-07 18:31:41,78.22,15.64,32.0,94,40,3.36
